term_type	term_value	type_necessity	value_list	type_data	description	language
protagonist-gender	other/mixed	optional	closed_list	string		eng
publication	book	optional	closed_list	string		eng
publication	journal	optional	closed_list	string		eng
publication	serial	optional	closed_list	string		eng
setting	other/mixed	optional	closed_list	string		eng
setting	rural	optional	closed_list	string		eng
setting	urban	optional	closed_list	string		eng
setting	big-city	optional	closed_list	string		eng
setting	small-city	optional	closed_list	string		eng
setting	sea	optional	closed_list	string		eng
subgenre	crime-fiction	optional	open_list	string		eng
subgenre	adventure	optional	open_list	string		eng
subgenre	erotic	optional	open_list	string	One of the principal themes is the sexual or erotic relations between some characters	eng
subgenre	fantastic	optional	open_list	string		eng
subgenre	farce	optional	open_list	string		eng
subgenre	naturalist	optional	open_list	string	One of the principal themes is illness (espeacilly genetic ones), prostitution, alcoholism or poverty	eng
subgenre	modernist	optional	open_list	string	One of the main aims of the text is not to tell actions but describe	eng
subgenre	opera	optional	open_list	string		eng
subgenre	pastoral	optional	open_list	string		eng
subgenre	realist	optional	open_list	string	The themes and scenes were normal to many people of the time in which the text happens	eng
subgenre	sentimental	optional	open_list	string	One of the principal themes is the sentimental relations between some characters	eng
subgenre	social	optional	open_list	string	One of the principal themes is the conditions in which the poor people lived	eng
subgenre	spiritual	optional	open_list	string	One of the principal themes is the religion and belief, from a faithful point of view	eng
subgenre	suspense	optional	open_list	string		eng
subgenre	thriller	optional	open_list	string		eng
subgenre	historical	optional	open_list	string	Some historical characters or scenes are represented and have a great importance in the text	eng
subgenre	anti-religious	optional	open_list	string	One of the principal themes is the critic to religious institutions, churches and religion in general	eng
subgenre	comedy	optional	open_list	string	Many parts of the text are written to make the reader laugh	eng
subgenre	philosophical	optional	open_list	string	One of the main aims of the text is not to tell actions but present ideas and opinions	eng
subgenre	memoir	optional	open_list	string	The text presents the story as the memories of the narrator or one of the main characters	eng
subgenre	moralist	optional	open_list	string	One of the main aims of the text is to represent ideas (religious or not) that should be followed or avoided	eng
subgenre	symbolic	optional	open_list	string	The text represent some important aspects with a symbolic or metaphorical representation	eng
subgenre	political fiction	optional	open_list	string	The text presents important aspects of the political development of existing or non-existing places.	eng
subgenre	bildungsroman	optional	open_list	string	The text describes the intellectual or personal growth of the protagonist.	eng
subgenre	war-novel	optional	open_list	string	The text describes the actions or consequences of a war.	eng
subsubgenre		optional	open_list	string		open
supergenre	drama	obligatory	closed_list	string		eng
supergenre	narrative	obligatory	closed_list	string		eng
supergenre	non-fiction	obligatory	closed_list	string		eng
supergenre	poetry	obligatory	closed_list	string		eng
supergenre	other/mixed	obligatory	closed_list	string		eng
subgenre-lithist		beta	open_list	string	Subgenre where the history of the literature has placed the text	open
setting-name		beta	open_list	string	Name of the place (city or village) where the majority of the text takes place	open
representation	realistic	beta	closed_list	string	The texts represents realistic places and actions	eng
representation	non-realistic	beta	closed_list	string	The texts represents not realistic places and actions	eng
representation	realistic_until_end	beta	closed_list	string	The text represent realistic places and actions, but at the end it accepts fantastic facts.	eng
representation	neutral	beta	closed_list	string	The text represents places and actions in an ambiguous way that is not covered in the other values	eng
setting-territory		beta	open_list	string	Name of the territory (province, community, Bundesland...) where the majority of the text takes place	open
setting-country		beta	open_list	string	Name of the country where the majority of the text takes place, in English	eng
setting-continent		beta	open_list	string	Name of the continent where the majority of the text takes place, in English	eng
protagonist-name		beta	open_list	string	Name of the most important person for the text, as complete as possible	eng
protagonist-social-level	high	beta	closed_list	string	The person is rich or has a very high social position	eng
protagonist-social-level	medium	beta	closed_list	string	The incomes of the person are related to work and basic needs (food, house, clothes, etc.) are covered	eng
protagonist-social-level	low	beta	closed_list	string	The person has difficulties to pay basic needs (food, house, cloths)	eng
protagonist-social-level	other/mixed	beta	closed_list	string	The person has difficulties to pay basic needs (food, house, cloths)	eng
time-period	antiquity	beta	closed_list	string	Before 800	eng
time-period	middle_ages	beta	closed_list	string	800-1400	eng
time-period	modern_times	beta	closed_list	string	1400-1800	eng
time-period	contemporary	beta	closed_list	string	1800-1950	eng
time-period	other/mixed	beta	closed_list	string		eng
time-span		beta	open_list	string	Time span from the beginning of the text until the end, expressed in days trying to round in years or months (1 year = 365)	eng
text-movement		beta	open_list	string	Artistic movement that is related to the text: naturalista, realista, modernista, vanguardista, social-realista	open
group-text		beta	open_list	string	Name of the group of texts from the same author, that the text is part of	open
author-text-relation	high	beta	closed_list	string	The majority of the aspects of the main character or the narrator has very clear similarities to the author's life, many times recognized by the author or the critic	eng
author-text-relation	medium	beta	closed_list	string	There are some similarities between the main character or narrator and the life of the author but other parts of the text has no relation	eng
author-text-relation	low	beta	closed_list	string	There are some similarities between the main character or narrator and the life of the author but other parts of the text has no relation	eng
author-text-relation	none	beta	closed_list	string	There are no special similiratires between the main character or narrator and the life of the author	eng
protagonist-profession	artist	beta	closed_list	string		eng
protagonist-profession	beggar	beta	closed_list	string		eng
protagonist-profession	business owner	beta	closed_list	string		eng
protagonist-profession	doctor	beta	closed_list	string	Any medichal position	eng
protagonist-profession	housewife	beta	closed_list	string		eng
protagonist-profession	journalist	beta	closed_list	string		eng
protagonist-profession	lord	beta	closed_list	string		eng
protagonist-profession	mixed	beta	closed_list	string		eng
protagonist-profession	public servant	beta	closed_list	string		eng
protagonist-profession	religious	beta	closed_list	string	Any kind of position in religious organization	eng
protagonist-profession	seaman	beta	closed_list	string		eng
protagonist-profession	student	beta	closed_list	string		eng
protagonist-profession	teacher	beta	closed_list	string		eng
protagonist-profession	worker	beta	closed_list	string		eng
protagonist-profession	politician	beta	closed_list	string		eng
protagonist-profession	military personnel	beta	closed_list	string		eng
protagonist-profession	researcher	beta	closed_list	string	Any kind of position whose first aim is to achieve of prove non-religious knowledge (also work in the humanities)	eng
protagonist-profession	seller	beta	closed_list	string		eng
protagonist-profession	retired	beta	closed_list	string		eng
protagonist-profession	servant	beta	closed_list	string		eng
protagonist-profession	criminal	beta	closed_list	string		eng
protagonist-profession	other/mixed	beta	closed_list	string		eng
protagonist-profession	adventurer	beta	closed_list	string		eng
protagonist-profession	detective	beta	closed_list	string		eng
protagonist-profession	none	beta	closed_list	string		eng
protagonist-age	child	beta	closed_list	string	0-12	eng
protagonist-age	young	beta	closed_list	string	13-19	eng
protagonist-age	adult	beta	closed_list	string	20-49	eng
protagonist-age	mature	beta	closed_list	string	50 and more	eng
type-end	positive	beta	closed_list	string	The texts ends in a positive way, specially with: wedding, kiss, redemption, victory, birth, obtaining some important goal, improvement of socioeconomic or sentimental situation	eng
type-end	neutral	beta	closed_list	string	The texts ends in a way that is not clearly positive or negative	eng
type-end	negative	beta	closed_list	string	The texts ends in a negative way, specially with: death, violence, depression, loss, deterioration of socioeconomic or sentimental situation	eng
type-end	partial positive	beta	closed_list	string		eng
type-end	partial negative	beta	closed_list	string		eng
type-end	other/mixed	beta	closed_list	string		eng
time-year		beta	open_list	string	If it is known, the year of the beginning of the text. If we only know the decade, the last number can be replaced with ?	number
subgenre-edit		beta	open_list	string	Subgenre information from editor. The source should be with the attribute resp.	open
quality-listhist	high	beta	closed_list	string	An authority of the history of literature (@resp) sais that the quality of the work is high.	eng
quality-listhist	medium	beta	closed_list	string	An authority of the history of literature (@resp) sais that the quality of the work is medium.	eng
quality-listhist	low	beta	closed_list	string	An authority of the history of literature (@resp) sais that the quality of the work is low.	eng
author-date-birth		beta	closed_list	number	Year of birth of the author	number
author-date-death		beta	closed_list	number	Year of death of the author	number
author-TOC-range		beta	closed_list	number	Numeric value about how a history of the literature treated the author in its Table of Content. A short reference to the specific work is given thorught the @resp attribute.	number
text-TOC-range		beta	closed_list	number	Numeric value about how a history of the literature treated the author in its Table of Content.	number
author-movement	realism	beta	closed_list	string		esp
author-movement	modernism	beta	closed_list	string		esp
author-movement	avantgarde	beta	closed_list	string		esp
author-movement	postwar	beta	closed_list	string		esp
author-non-novel-genre	essay	beta	closed_list	string		eng
author-non-novel-genre	poetry	beta	closed_list	string		eng
author-non-novel-genre	theatre	beta	closed_list	string		eng
author-non-novel-genre	none	beta	closed_list	string		eng
author-non-novel-genre	short-stories	beta	closed_list	string		eng
author-non-novel-genre	aphorism	beta	closed_list	string		eng
author-histlit-pages		beta	closed_list	number	Numeric value about how the amount of pages that a history of the literature dedicated to this author. A short reference to the specific work is given thorught the @resp attribute.	number
text-histlit-pages		beta	closed_list	number	Numeric value about how the amount of pages that a history of the literature dedicated to this text.	number
subgroup-text		beta	open_list	string		open
author-submovement		beta	open_list	string	realista, naturalista, modernista, vanguardista, social-realista	open
author-year-change		beta	closed_list	number	Defines the year is considered to be the most important changing point in the style of an author's career.	number
